id,en_char_len,en_correct,zh_char_len,zh_correct,es_char_len,es_correct,th_char_len,th_correct,deepseek-v3_en_tokens,deepseek-v3_zh_tokens,deepseek-v3_es_tokens,deepseek-v3_th_tokens
103,1085,1,1074,1,1587,1,1325,1,381,601,550,571
106,1306,1,1027,1,1382,1,646,1,449,562,464,208
108,668,1,909,1,1058,1,607,1,227,538,375,270
114,866,1,540,1,675,1,558,1,224,295,203,233
128,1393,1,1026,1,1449,1,1068,1,482,653,615,503
133,922,1,907,1,790,1,607,1,330,530,278,291
137,1262,1,1303,1,1268,1,1293,1,421,720,468,445
138,1034,1,785,1,1350,1,918,1,305,432,419,426
145,1553,1,1645,1,1853,1,1292,1,469,878,577,555
155,829,1,684,1,1036,1,600,1,290,377,374,277
160,1435,1,1130,1,1416,1,1222,1,498,608,545,563
162,489,1,698,1,468,1,519,1,182,403,178,195
163,427,1,697,1,506,1,662,1,150,382,179,279
165,1718,1,802,1,1524,1,957,1,608,458,549,426
173,748,1,875,1,1359,1,737,1,232,429,408,305
177,1395,1,1260,1,1747,1,1149,1,450,696,610,579
180,962,1,733,1,968,1,435,1,320,434,349,213
186,1079,1,608,1,1121,1,908,1,350,362,356,402
187,1371,1,657,1,856,1,716,1,537,345,342,326
191,1301,1,1167,1,1027,1,720,1,461,681,402,368
196,2037,1,1430,1,2143,1,1330,1,598,800,659,644
200,1010,1,922,1,819,1,917,1,350,423,297,376
206,1251,1,875,1,980,1,789,1,334,481,326,305
215,1003,1,1095,1,1593,1,768,1,313,617,550,333
217,1124,1,645,1,973,1,859,1,311,392,252,367
222,1682,1,1449,1,1774,1,1131,1,536,809,599,523
223,1778,1,1084,1,1538,1,1726,1,592,670,531,773
225,540,1,689,1,537,1,506,1,176,389,192,175
226,1542,1,1368,1,1457,1,1119,1,495,725,476,482
229,1168,1,1054,1,949,1,1178,1,372,603,304,383
230,919,1,1076,1,916,1,1070,1,303,538,324,491
233,791,1,633,1,797,1,668,1,247,340,249,275
236,1267,1,1126,1,1326,1,1019,1,531,663,481,460
239,1329,1,835,1,1504,1,1074,1,392,414,440,336
262,810,1,794,1,784,1,606,1,287,457,287,295
263,1086,1,805,1,995,1,1474,1,296,448,350,408
269,676,1,568,1,843,1,514,1,187,314,282,156
282,1177,1,1385,1,1118,1,1192,1,412,720,435,467
290,1191,1,983,1,992,1,622,1,400,549,366,297
296,819,1,1075,1,839,1,878,1,274,523,294,398
300,2427,1,1284,1,2408,1,1903,1,759,758,826,805
303,1084,1,566,1,845,1,1154,1,304,323,279,508
305,605,1,763,1,678,1,527,1,241,428,310,302
310,762,1,727,1,917,1,644,1,296,441,359,336
312,1519,1,1045,1,1510,1,1091,1,437,638,541,444
313,1087,1,899,1,1462,1,1256,1,329,478,448,508
314,635,1,1398,1,938,1,767,1,247,604,342,355
325,785,1,662,1,1000,1,1089,1,269,385,373,403
334,789,1,695,1,1071,1,794,1,214,395,332,370
339,1684,1,903,1,1881,1,1329,1,527,507,619,544
349,905,1,831,1,809,1,768,1,244,484,262,328
354,947,1,589,1,837,1,856,1,332,306,286,294
356,934,1,642,1,806,1,599,1,259,341,245,262
360,1390,1,686,1,1273,1,907,1,403,411,390,423
367,1306,1,630,1,1161,1,932,1,346,352,379,408
371,1544,1,1036,1,1790,1,664,1,453,551,563,298
64,1153,1,790,1,1179,1,1080,1,300,435,354,447
77,1244,1,704,1,1295,1,865,1,320,371,411,463
78,1734,1,1105,1,1965,1,1233,1,536,652,678,585
83,973,1,718,1,930,1,722,1,296,388,274,295
85,1107,1,692,1,978,1,1264,1,297,399,308,346
91,1007,1,771,1,912,1,913,1,369,432,347,411
97,449,1,654,1,616,1,851,1,147,364,212,449
98,1449,1,1021,1,1463,1,1279,1,376,541,442,470
