id,en_char_len,en_correct,zh_char_len,zh_correct,es_char_len,es_correct,th_char_len,th_correct,deepseek-v3_en_tokens,deepseek-v3_zh_tokens,deepseek-v3_es_tokens,deepseek-v3_th_tokens
0,2331,1,1323,1,2056,1,2067,1,942,728,879,841
100,2089,1,2070,1,2147,1,2795,1,826,1024,804,1103
101,2206,1,1437,1,1850,1,2289,1,978,855,889,1020
102,678,1,309,1,807,1,567,1,202,149,234,173
103,1746,1,544,1,852,1,879,1,552,295,343,311
104,2453,1,2860,1,3700,1,3426,1,916,1376,1415,1327
105,1700,1,1419,1,2383,1,2619,1,729,771,1015,1119
106,896,1,677,1,985,1,1334,1,336,360,354,429
107,1345,1,1526,1,1740,1,1298,1,446,820,589,486
108,411,1,193,1,399,1,446,1,166,116,167,184
109,364,1,268,1,454,1,479,1,165,156,185,196
11,2883,1,2165,1,2780,1,3656,1,937,1370,1071,1247
110,7412,1,3154,1,8569,1,7439,1,2707,1859,3537,2958
111,935,1,509,1,726,1,980,1,332,289,291,379
112,6360,1,675,1,4921,1,1143,1,2660,378,2100,472
113,1421,1,1285,1,1372,1,1595,1,735,722,724,795
114,312,1,114,1,281,1,500,1,102,70,86,176
115,1156,1,686,1,1249,1,1286,1,525,375,561,584
116,5421,1,4488,1,6793,1,7700,1,2197,2403,2813,2967
117,1373,1,529,1,1984,1,2065,1,580,295,828,848
118,999,1,655,1,1265,1,1051,1,346,342,432,344
119,927,1,654,1,1070,1,868,1,416,383,481,394
12,2437,1,1948,1,2946,1,2363,1,977,856,1165,976
121,1615,1,1019,1,1825,1,1801,1,619,474,708,697
122,4285,1,2818,1,5090,1,4170,1,1740,1475,1984,1797
123,4648,1,3850,1,5119,1,5308,1,2269,2171,2373,2433
124,907,1,513,1,798,1,990,1,331,279,292,328
125,1193,1,526,1,945,1,1206,1,420,349,374,451
126,5639,1,2779,1,7545,1,5930,1,2103,1525,2765,2175
128,862,1,423,1,446,1,790,1,278,242,178,256
129,1438,1,1331,1,1538,1,1932,1,607,663,673,788
130,495,1,368,1,475,1,507,1,218,190,205,216
131,1405,1,797,1,1499,1,1602,1,612,456,664,672
132,866,1,451,1,786,1,801,1,319,269,306,330
133,531,1,266,1,518,1,553,1,218,142,198,217
134,670,1,300,1,531,1,426,1,253,177,208,188
135,3591,1,1783,1,5177,1,5874,1,1544,1024,2169,2463
136,6490,1,3951,1,5455,1,5292,1,2481,2418,2347,1856
137,540,1,245,1,541,1,671,1,229,144,226,264
138,718,1,447,1,790,1,517,1,260,231,261,233
139,8338,1,2376,1,5870,1,3813,1,3458,1320,2478,1670
140,486,1,372,1,503,1,541,1,208,191,216,226
141,6215,1,3607,1,5579,1,5007,1,1992,2504,1806,1596
142,1721,1,856,1,1697,1,1743,1,639,478,653,677
143,893,1,637,1,736,1,702,1,422,370,400,379
144,703,1,552,1,629,1,967,1,256,327,237,324
145,985,1,567,1,904,1,1162,1,330,291,336,383
146,1771,1,1037,1,1442,1,1448,1,718,561,617,634
147,1235,1,760,1,1162,1,842,1,433,376,404,372
148,6122,1,6487,1,8593,1,3322,1,2567,3586,3636,1286
149,2639,1,1553,1,4985,1,4900,1,1136,799,2317,2139
15,3161,1,2584,1,4879,1,1974,1,1182,1459,1803,752
150,1426,1,916,1,1523,1,1378,1,551,477,601,556
151,1745,1,986,1,2494,1,2287,1,496,566,832,648
152,2423,1,1455,1,1413,1,3416,1,697,837,404,957
153,4236,1,2049,1,3886,1,2929,1,1766,974,1618,1134
154,8308,1,2403,1,3241,1,4789,1,3665,1378,1508,1967
155,522,1,278,1,514,1,477,1,209,157,199,182
156,1855,1,1787,1,1762,1,1981,1,807,993,812,827
157,2782,1,3096,1,3115,1,3279,1,1598,2039,1727,1905
158,1372,1,1154,1,1329,1,1413,1,591,619,582,592
159,2608,1,5495,1,3836,1,4255,1,1050,2631,1519,1505
160,901,1,546,1,1109,1,1103,1,343,287,434,412
161,958,1,326,1,783,1,957,1,334,181,299,347
162,442,1,248,1,416,1,437,1,189,134,158,181
163,544,1,238,1,395,1,389,1,225,123,162,185
165,664,1,503,1,1006,1,747,1,281,279,414,346
166,4873,1,2979,1,3713,1,3477,1,2344,1647,1701,1615
167,1210,1,425,1,873,1,843,1,472,264,415,352
168,3124,1,2695,1,3061,1,2709,1,1314,1497,1359,1157
169,1139,1,439,1,943,1,966,1,408,255,337,379
170,2641,1,1902,1,2307,1,2415,1,1131,1064,988,1057
171,963,1,369,1,559,1,709,1,402,176,214,262
172,1620,1,408,1,1262,1,1232,1,700,235,487,435
173,271,1,202,1,585,1,770,1,105,106,214,255
174,2046,1,1010,1,2484,1,1645,1,836,520,979,652
175,660,1,284,1,560,1,487,1,263,160,220,193
176,2006,1,1200,1,3628,1,2036,1,806,649,1357,758
177,799,1,309,1,870,1,714,1,310,184,352,282
178,2574,1,1991,1,3281,1,2958,1,1115,1153,1386,1188
179,4349,1,4143,1,4931,1,4528,1,1807,2145,1966,1832
180,308,1,196,1,287,1,364,1,130,119,125,160
181,1710,1,1602,1,1973,1,1521,1,682,777,742,615
182,3045,1,3604,1,3322,1,3550,1,1098,2142,1339,1510
183,1019,1,822,1,927,1,1108,1,446,485,412,502
184,532,1,288,1,611,1,539,1,223,152,260,226
185,3812,1,1713,1,3087,1,3248,1,1637,914,1319,1391
186,490,1,241,1,319,1,581,1,217,137,133,226
187,953,1,783,1,930,1,819,1,388,384,413,346
188,2023,1,1284,1,2037,1,1746,1,849,703,817,708
189,1128,1,967,1,1154,1,962,1,506,536,495,437
19,3537,1,6527,1,3893,1,4037,1,1538,3458,1770,1812
191,723,1,481,1,635,1,172,1,203,262,223,88
193,975,1,737,1,1659,1,1281,1,378,381,707,540
194,6002,1,2169,1,4304,1,5939,1,2135,1402,1591,2212
195,502,1,319,1,507,1,521,1,226,198,243,245
196,876,1,657,1,895,1,885,1,327,372,344,296
