id,en_char_len,en_correct,zh_char_len,zh_correct,es_char_len,es_correct,th_char_len,th_correct,deepseek-v3_en_tokens,deepseek-v3_zh_tokens,deepseek-v3_es_tokens,deepseek-v3_th_tokens
100,1211,1,1259,1,1553,1,1263,1,453,578,596,534
101,799,1,2493,1,2816,1,1628,1,422,1477,1319,869
102,95,1,247,1,6,1,64,1,28,118,3,27
104,546,1,914,1,650,1,679,1,212,431,251,287
105,484,1,771,1,735,1,584,1,246,449,369,321
106,360,1,370,1,422,1,451,1,157,208,176,212
107,523,1,381,1,503,1,437,1,187,203,186,213
108,381,1,168,1,396,1,258,1,160,100,166,123
109,361,1,247,1,280,1,230,1,155,157,124,124
110,4309,1,3199,1,7283,1,4998,1,1541,1885,2647,2240
111,358,1,347,1,492,1,408,1,167,215,214,219
112,1063,1,742,1,1209,1,1065,1,390,447,513,495
113,778,1,937,1,689,1,907,1,415,538,362,505
114,382,1,167,1,262,1,217,1,102,106,87,98
115,935,1,765,1,1369,1,942,1,376,435,553,449
118,647,1,327,1,695,1,509,1,230,172,253,233
119,532,1,549,1,513,1,539,1,262,348,268,308
12,1517,1,1389,1,1677,1,1808,1,661,724,683,799
121,981,1,707,1,828,1,748,1,387,303,327,329
123,4096,1,1593,1,2721,1,4553,1,1896,873,1115,2249
125,338,1,243,1,442,1,208,1,147,163,177,99
126,2242,1,1199,1,1396,1,988,1,923,651,546,487
128,369,1,326,1,319,1,242,1,143,190,130,109
129,869,1,811,1,722,1,934,1,424,418,349,438
130,333,1,332,1,408,1,372,1,166,198,199,205
131,807,1,775,1,774,1,719,1,384,460,368,416
132,221,1,377,1,283,1,305,1,82,219,113,145
133,478,1,311,1,348,1,285,1,195,182,147,139
134,394,1,483,1,612,1,440,1,178,296,244,221
135,1491,1,1061,1,1088,1,1361,1,634,553,446,633
137,649,1,501,1,268,1,263,1,259,287,112,125
138,241,1,274,1,432,1,377,1,85,151,154,169
140,236,1,363,1,323,1,238,1,118,209,146,128
143,476,1,441,1,452,1,427,1,263,247,266,262
144,221,1,333,1,239,1,248,1,88,200,103,108
145,386,1,172,1,462,1,512,1,140,101,174,228
147,725,1,805,1,803,1,679,1,248,385,288,270
148,2323,1,998,1,3847,1,3077,1,967,498,1547,1482
149,1155,1,1217,1,709,1,1056,1,483,627,307,456
15,1102,1,1941,1,1373,1,3131,1,455,1148,526,1468
150,996,1,648,1,959,1,858,1,407,364,417,413
151,599,1,263,1,690,1,846,1,165,172,225,346
155,311,1,266,1,311,1,282,1,121,154,118,148
156,1519,1,1253,1,1509,1,1208,1,630,680,620,603
158,917,1,610,1,854,1,887,1,419,332,408,433
160,685,1,650,1,627,1,1012,1,265,362,261,480
161,744,1,522,1,574,1,584,1,294,299,241,271
162,256,1,246,1,180,1,143,1,119,145,75,74
163,454,1,261,1,315,1,268,1,177,138,140,133
165,408,1,317,1,351,1,647,1,189,184,163,308
