id,en_correct,zh_correct,en_char_len,zh_char_len,qwen3-8b_en_tokens,qwen3-8b_zh_tokens,qwen3-8b_ratio,deepseek-v3_en_tokens,deepseek-v3_zh_tokens,deepseek-v3_ratio,seed-coder-8b_en_tokens,seed-coder-8b_zh_tokens,seed-coder-8b_ratio
gsm8k_test_000000,1,1,540,204,173,130,0.7514450867052023,168,121,0.7202380952380952,180,135,0.75
gsm8k_test_000001,1,1,407,254,120,160,1.3333333333333333,117,151,1.2905982905982907,128,170,1.328125
gsm8k_test_000002,1,1,820,502,304,327,1.075657894736842,237,236,0.9957805907172996,326,331,1.0153374233128833
gsm8k_test_000003,1,1,454,152,143,99,0.6923076923076923,132,84,0.6363636363636364,158,97,0.6139240506329114
gsm8k_test_000004,1,1,734,402,217,260,1.1981566820276497,203,234,1.1527093596059113,227,268,1.1806167400881058
gsm8k_test_000005,1,1,610,247,186,165,0.8870967741935484,181,152,0.8397790055248618,200,165,0.825
gsm8k_test_000006,0,1,644,341,222,182,0.8198198198198198,205,154,0.751219512195122,233,186,0.7982832618025751
gsm8k_test_000007,1,1,790,450,292,264,0.9041095890410958,247,229,0.9271255060728745,300,263,0.8766666666666667
gsm8k_test_000008,1,1,1344,658,428,474,1.1074766355140186,383,395,1.031331592689295,445,437,0.9820224719101124
gsm8k_test_000009,1,1,687,197,244,128,0.5245901639344263,215,107,0.49767441860465117,250,128,0.512
gsm8k_test_000010,1,1,680,282,210,176,0.8380952380952381,188,146,0.776595744680851,218,182,0.8348623853211009
gsm8k_test_000011,1,1,495,345,197,235,1.1928934010152283,165,185,1.121212121212121,205,222,1.0829268292682928
gsm8k_test_000012,0,0,1160,321,352,214,0.6079545454545454,328,176,0.5365853658536586,365,209,0.5726027397260274
gsm8k_test_000013,1,1,875,499,323,316,0.978328173374613,296,281,0.9493243243243243,335,302,0.9014925373134328
gsm8k_test_000014,1,1,661,515,214,308,1.439252336448598,200,259,1.295,226,313,1.3849557522123894
gsm8k_test_000015,1,1,605,522,219,362,1.6529680365296804,190,291,1.5315789473684212,232,342,1.4741379310344827
gsm8k_test_000016,1,1,315,204,84,137,1.630952380952381,74,111,1.5,89,136,1.5280898876404494
gsm8k_test_000017,1,1,675,318,262,219,0.8358778625954199,213,160,0.7511737089201878,266,205,0.7706766917293233
gsm8k_test_000018,1,1,406,313,153,206,1.34640522875817,144,181,1.2569444444444444,157,210,1.3375796178343948
gsm8k_test_000019,1,1,905,416,292,276,0.9452054794520548,285,238,0.8350877192982457,298,260,0.87248322147651
