id,en_correct,zh_correct,en_char_len,zh_char_len,llama-3.1-8b_en_tokens,llama-3.1-8b_zh_tokens,llama-3.1-8b_ratio
gsm8k_test_000000,1,1,1530,438,397,285,0.7178841309823678
gsm8k_test_000006,1,1,1299,536,337,235,0.6973293768545994
gsm8k_test_000009,1,1,1281,448,328,256,0.7804878048780488
gsm8k_test_000010,1,1,1581,422,379,245,0.6464379947229552
gsm8k_test_000014,1,1,2278,700,546,436,0.7985347985347986
gsm8k_test_000017,1,1,1373,442,368,253,0.6875
gsm8k_test_000018,1,1,1123,498,302,310,1.0264900662251655
gsm8k_test_000019,1,1,1922,585,478,370,0.7740585774058577
gsm8k_test_000022,1,1,1153,556,317,325,1.025236593059937
gsm8k_test_000023,1,1,1017,340,263,239,0.908745247148289
gsm8k_test_000025,1,1,1290,546,358,323,0.9022346368715084
gsm8k_test_000031,1,1,916,550,275,341,1.24
gsm8k_test_000032,1,1,1092,387,281,229,0.8149466192170819
gsm8k_test_000033,1,1,1197,534,345,319,0.9246376811594202
gsm8k_test_000035,1,1,1154,436,320,261,0.815625
gsm8k_test_000036,1,1,1073,462,332,283,0.8524096385542169
gsm8k_test_000038,1,1,1053,601,293,358,1.2218430034129693
gsm8k_test_000039,1,1,1535,660,405,443,1.0938271604938272
gsm8k_test_000044,1,1,1243,588,357,392,1.0980392156862746
gsm8k_test_000049,1,1,1161,498,305,327,1.0721311475409836
gsm8k_test_000051,1,1,893,516,247,317,1.2834008097165992
gsm8k_test_000052,1,1,1341,498,375,349,0.9306666666666666
gsm8k_test_000053,1,1,2214,770,517,490,0.9477756286266924
gsm8k_test_000054,1,1,1448,479,360,285,0.7916666666666666
gsm8k_test_000059,1,1,896,432,208,291,1.3990384615384615
gsm8k_test_000061,1,1,1189,461,310,259,0.8354838709677419
gsm8k_test_000065,1,1,1107,476,300,285,0.95
gsm8k_test_000067,1,1,1022,459,281,301,1.0711743772241993
gsm8k_test_000068,1,1,1000,391,259,216,0.833976833976834
gsm8k_test_000070,1,1,1332,584,338,353,1.044378698224852
gsm8k_test_000076,1,1,1755,579,452,378,0.8362831858407079
gsm8k_test_000077,1,1,1080,556,269,291,1.0817843866171004
gsm8k_test_000078,1,1,1761,702,489,413,0.8445807770961146
gsm8k_test_000079,1,1,852,450,215,261,1.213953488372093
gsm8k_test_000083,1,1,953,405,258,296,1.1472868217054264
gsm8k_test_000088,1,1,818,436,231,263,1.1385281385281385
gsm8k_test_000090,1,1,1481,487,354,323,0.9124293785310734
gsm8k_test_000091,1,1,822,360,230,237,1.0304347826086957
gsm8k_test_000094,1,1,1552,516,394,339,0.8604060913705583
gsm8k_test_000095,1,1,1306,551,376,341,0.9069148936170213
gsm8k_test_000096,1,1,849,338,235,217,0.9234042553191489
gsm8k_test_000100,1,1,1519,596,415,384,0.9253012048192771
gsm8k_test_000101,1,1,1376,429,360,260,0.7222222222222222
gsm8k_test_000103,1,1,1317,535,324,329,1.0154320987654322
gsm8k_test_000104,1,1,1386,469,371,288,0.7762803234501348
gsm8k_test_000105,1,1,819,397,209,231,1.105263157894737
gsm8k_test_000106,1,1,1079,468,299,293,0.979933110367893
gsm8k_test_000108,1,1,1155,573,299,399,1.334448160535117
gsm8k_test_000112,1,1,1505,413,367,261,0.7111716621253406
gsm8k_test_000114,1,1,1430,569,354,330,0.9322033898305084
gsm8k_test_000115,1,1,1523,839,466,521,1.1180257510729614
gsm8k_test_000116,1,1,1208,499,322,311,0.9658385093167702
gsm8k_test_000118,1,1,1910,494,427,336,0.7868852459016393
gsm8k_test_000120,1,1,1211,434,303,246,0.8118811881188119
gsm8k_test_000121,1,1,1019,574,293,327,1.1160409556313993
gsm8k_test_000123,1,1,1259,473,333,280,0.8408408408408409
gsm8k_test_000126,1,1,1024,365,288,231,0.8020833333333334
gsm8k_test_000128,1,1,1628,612,438,397,0.906392694063927
gsm8k_test_000130,1,1,1605,360,398,232,0.5829145728643216
gsm8k_test_000131,1,1,707,388,178,209,1.1741573033707866
gsm8k_test_000132,1,1,1206,563,317,352,1.110410094637224
gsm8k_test_000133,1,1,1036,435,254,274,1.078740157480315
gsm8k_test_000137,1,1,1248,572,412,366,0.8883495145631068
gsm8k_test_000139,1,1,948,464,279,299,1.07168458781362
gsm8k_test_000143,1,1,1674,572,463,375,0.8099352051835853
gsm8k_test_000144,1,1,1868,632,482,418,0.8672199170124482
gsm8k_test_000145,1,1,1241,444,344,284,0.8255813953488372
gsm8k_test_000150,1,1,1415,734,372,429,1.153225806451613
gsm8k_test_000151,1,1,1569,516,427,328,0.7681498829039812
gsm8k_test_000152,1,1,981,420,258,263,1.0193798449612403
gsm8k_test_000156,1,1,1353,552,355,322,0.9070422535211268
gsm8k_test_000161,1,1,1225,610,378,355,0.9391534391534392
gsm8k_test_000163,1,1,1152,532,327,344,1.0519877675840978
gsm8k_test_000164,1,1,1323,466,311,264,0.8488745980707395
gsm8k_test_000165,1,1,1340,647,341,393,1.152492668621701
gsm8k_test_000166,1,1,1120,488,287,300,1.0452961672473868
gsm8k_test_000167,1,1,937,494,305,288,0.9442622950819672
gsm8k_test_000168,1,1,803,361,233,184,0.7896995708154506
gsm8k_test_000169,1,1,1090,473,274,280,1.0218978102189782
gsm8k_test_000172,1,1,1044,816,289,364,1.259515570934256
gsm8k_test_000173,1,1,1460,759,397,448,1.128463476070529
gsm8k_test_000174,1,1,1783,610,442,385,0.8710407239819005
gsm8k_test_000176,1,1,963,394,227,229,1.0088105726872247
gsm8k_test_000178,1,1,1044,467,348,271,0.7787356321839081
gsm8k_test_000179,1,1,1210,467,308,281,0.9123376623376623
gsm8k_test_000181,1,1,1414,623,362,467,1.2900552486187846
gsm8k_test_000188,1,1,1456,712,364,439,1.206043956043956
gsm8k_test_000189,1,1,1817,570,495,359,0.7252525252525253
gsm8k_test_000190,1,1,978,412,251,245,0.9760956175298805
gsm8k_test_000191,1,1,1059,428,264,300,1.1363636363636365
gsm8k_test_000192,1,1,1471,507,400,336,0.84
gsm8k_test_000194,1,1,1072,387,275,240,0.8727272727272727
gsm8k_test_000195,1,1,988,418,306,271,0.8856209150326797
gsm8k_test_000196,1,1,1193,403,260,277,1.0653846153846154
gsm8k_test_000198,1,1,1728,565,417,362,0.86810551558753
gsm8k_test_000202,1,1,971,413,245,275,1.1224489795918366
gsm8k_test_000204,1,1,1384,488,392,298,0.7602040816326531
gsm8k_test_000207,1,1,1556,502,392,330,0.8418367346938775
gsm8k_test_000208,1,1,1149,421,301,277,0.920265780730897
gsm8k_test_000210,1,1,1740,665,450,423,0.94
gsm8k_test_000211,1,1,1097,483,317,300,0.9463722397476341
gsm8k_test_000212,1,1,1145,485,306,306,1.0
gsm8k_test_000217,1,1,839,341,224,236,1.0535714285714286
gsm8k_test_000218,1,1,1637,653,496,332,0.6693548387096774
gsm8k_test_000223,1,1,1100,332,268,193,0.7201492537313433
gsm8k_test_000224,1,1,1193,389,318,233,0.7327044025157232
gsm8k_test_000225,1,1,1124,376,273,227,0.8315018315018315
