id,en_char_len,en_correct,zh_char_len,zh_correct,es_char_len,es_correct,th_char_len,th_correct,qwen3-8b_en_tokens,qwen3-8b_zh_tokens,qwen3-8b_es_tokens,qwen3-8b_th_tokens,deepseek-v3_en_tokens,deepseek-v3_zh_tokens,deepseek-v3_es_tokens,deepseek-v3_th_tokens,seed-coder-8b_en_tokens,seed-coder-8b_zh_tokens,seed-coder-8b_es_tokens,seed-coder-8b_th_tokens
0,1608,1,1672,1,2279,1,1440,0,794,1055,1105,882,718,927,989,748,830,1060,1149,897
1,3039,0,1747,0,7,0,7,0,1306,1113,4,4,1122,988,3,3,1361,1118,4,4
10,6282,0,2456,0,2526,0,8760,0,3022,1593,831,5836,2510,1307,745,4131,3175,1589,854,5963
100,1211,1,1259,1,1553,1,1263,1,544,710,701,687,453,578,596,534,536,699,695,669
101,799,1,2493,1,2816,1,1628,1,440,1574,1391,1026,422,1477,1319,869,459,1638,1454,1055
102,95,1,247,1,6,1,64,1,28,165,3,35,28,118,3,27,30,177,3,38
103,656,1,477,1,713,1,468,0,275,300,311,304,250,258,276,223,280,302,312,297
104,546,1,914,1,650,1,679,1,240,487,289,373,212,431,251,287,254,512,302,387
105,484,1,771,1,735,1,584,1,254,472,385,362,246,449,369,321,266,499,399,371
106,360,1,370,1,422,1,451,1,173,232,195,280,157,208,176,212,175,245,201,287
