id,en_correct,zh_correct,en_char_len,zh_char_len,qwen3-8b_en_tokens,qwen3-8b_zh_tokens,qwen3-8b_ratio,deepseek-v3_en_tokens,deepseek-v3_zh_tokens,deepseek-v3_ratio,seed-coder-8b_en_tokens,seed-coder-8b_zh_tokens,seed-coder-8b_ratio,llama-3.1-8b_en_tokens,llama-3.1-8b_zh_tokens,llama-3.1-8b_ratio,gpt-4o_en_tokens,gpt-4o_zh_tokens,gpt-4o_ratio
0,1,1,2331,1323,1074,818,0.7616387337057728,942,728,0.772823779193206,1119,826,0.7381590705987489,985,786,0.7979695431472081,988,781,0.7904858299595142
100,1,1,2089,2070,926,1176,1.2699784017278617,826,1024,1.2397094430992737,926,1173,1.2667386609071274,908,1182,1.301762114537445,906,1180,1.3024282560706402
101,1,1,2206,1437,1032,914,0.8856589147286822,978,855,0.8742331288343558,1087,928,0.8537258509659613,1029,921,0.8950437317784257,1036,919,0.887065637065637
102,1,1,678,309,232,187,0.8060344827586207,202,149,0.7376237623762376,243,189,0.7777777777777778,208,176,0.8461538461538461,208,172,0.8269230769230769
103,1,1,1746,544,578,332,0.5743944636678201,552,295,0.5344202898550725,585,328,0.5606837606837607,567,334,0.5890652557319224,562,322,0.5729537366548043
104,1,1,2453,2860,1013,1625,1.6041461006910167,916,1376,1.502183406113537,1080,1647,1.525,954,1469,1.539832285115304,959,1466,1.5286757038581855
105,1,1,1700,1419,762,849,1.1141732283464567,729,771,1.0576131687242798,791,855,1.0809102402022757,756,841,1.1124338624338623,753,831,1.1035856573705178
106,1,1,896,677,358,405,1.1312849162011174,336,360,1.0714285714285714,360,399,1.1083333333333334,358,413,1.1536312849162011,361,418,1.1578947368421053
107,1,1,1345,1526,484,885,1.828512396694215,446,820,1.8385650224215246,515,922,1.7902912621359224,484,898,1.8553719008264462,496,911,1.8366935483870968
108,1,1,411,193,175,129,0.7371428571428571,166,116,0.6987951807228916,184,127,0.6902173913043478,175,132,0.7542857142857143,175,133,0.76
109,1,1,364,268,180,176,0.9777777777777777,165,156,0.9454545454545454,193,179,0.927461139896373,177,181,1.0225988700564972,178,181,1.0168539325842696
11,1,1,2883,2165,968,1486,1.5351239669421488,937,1370,1.4621131270010672,1006,1489,1.4801192842942346,950,1449,1.5252631578947369,950,1471,1.548421052631579
110,1,1,7412,3154,2882,2008,0.6967383761276891,2707,1859,0.6867380864425563,3045,2076,0.6817733990147783,2827,2010,0.7110010611956137,2830,2015,0.7120141342756183
111,1,1,935,509,349,326,0.9340974212034384,332,289,0.8704819277108434,371,326,0.8787061994609164,344,336,0.9767441860465116,342,322,0.9415204678362573
112,1,1,6360,675,3138,445,0.14181007010834926,2660,378,0.14210526315789473,3198,482,0.15071919949968732,2841,423,0.14889123548046462,2893,426,0.14725198755617006
113,1,1,1421,1285,787,779,0.9898348157560356,735,722,0.9823129251700681,833,824,0.9891956782713085,760,752,0.9894736842105263,790,773,0.9784810126582278
114,1,1,312,114,107,81,0.7570093457943925,102,70,0.6862745098039216,117,76,0.6495726495726496,103,79,0.7669902912621359,107,77,0.719626168224299
115,1,1,1156,686,550,408,0.7418181818181818,525,375,0.7142857142857143,571,426,0.7460595446584939,550,412,0.7490909090909091,543,407,0.7495395948434622
116,1,1,5421,4488,2329,2728,1.1713181623014168,2197,2403,1.0937642239417387,2356,2742,1.16383701188455,2319,2689,1.1595515308322553,2331,2648,1.135993135993136
117,1,1,1373,529,729,367,0.5034293552812071,580,295,0.5086206896551724,789,371,0.47021546261089986,596,315,0.5285234899328859,612,316,0.5163398692810458
118,1,1,999,655,365,369,1.010958904109589,346,342,0.9884393063583815,385,375,0.974025974025974,365,375,1.0273972602739727,361,366,1.0138504155124655
119,1,1,927,654,449,429,0.955456570155902,416,383,0.9206730769230769,483,435,0.9006211180124224,432,418,0.9675925925925926,432,419,0.9699074074074074
12,1,1,2437,1948,1198,1116,0.9315525876460768,977,856,0.8761514841351075,1259,1170,0.9293089753772835,1035,986,0.9526570048309179,1032,985,0.9544573643410853
121,1,1,1615,1019,737,562,0.762550881953867,619,474,0.7657512116316639,705,540,0.7659574468085106,737,565,0.7666214382632293,722,556,0.7700831024930748
122,1,1,4285,2818,1988,1750,0.8802816901408451,1740,1475,0.8477011494252874,2003,1729,0.8632051922116825,1895,1620,0.8548812664907651,1912,1617,0.8457112970711297
123,1,1,4648,3850,2621,2554,0.974437237695536,2269,2171,0.9568091670339357,2734,2670,0.9765910753474762,2417,2275,0.9412494828299545,2434,2286,0.9391947411668036
124,1,1,907,513,391,342,0.8746803069053708,331,279,0.8429003021148036,398,328,0.8241206030150754,338,298,0.8816568047337278,338,296,0.8757396449704142
125,1,1,1193,526,464,417,0.8987068965517241,420,349,0.830952380952381,473,397,0.8393234672304439,422,382,0.9052132701421801,422,382,0.9052132701421801
126,1,1,5639,2779,2223,1680,0.7557354925775979,2103,1525,0.7251545411317166,2354,1684,0.7153780798640612,2223,1694,0.7620332883490778,2247,1706,0.7592345349354696
128,1,1,862,423,296,270,0.9121621621621622,278,242,0.8705035971223022,306,269,0.8790849673202614,288,266,0.9236111111111112,288,262,0.9097222222222222
129,1,1,1438,1331,661,754,1.140695915279879,607,663,1.0922570016474464,689,727,1.0551523947750363,659,756,1.1471927162367224,660,753,1.1409090909090909
130,1,1,495,368,271,242,0.8929889298892989,218,190,0.8715596330275229,287,249,0.867595818815331,229,207,0.9039301310043668,230,205,0.8913043478260869
131,1,1,1405,797,670,506,0.755223880597015,612,456,0.7450980392156863,703,526,0.748221906116643,651,498,0.7649769585253456,649,497,0.765793528505393
132,1,1,866,451,339,305,0.8997050147492626,319,269,0.8432601880877743,340,292,0.8588235294117647,329,277,0.8419452887537994,335,275,0.8208955223880597
133,1,1,531,266,232,167,0.7198275862068966,218,142,0.6513761467889908,247,162,0.6558704453441295,226,162,0.7168141592920354,229,163,0.7117903930131004
