id,en_correct,zh_correct,en_char_len,zh_char_len,qwen3-8b_en_tokens,qwen3-8b_zh_tokens,qwen3-8b_ratio
gsm8k_test_000000,1,1,540,204,173,130,0.7514450867052023
gsm8k_test_000001,1,1,407,254,120,160,1.3333333333333333
gsm8k_test_000002,1,1,820,502,304,327,1.075657894736842
gsm8k_test_000003,1,1,454,152,143,99,0.6923076923076923
gsm8k_test_000004,1,1,734,402,217,260,1.1981566820276497
gsm8k_test_000005,1,1,610,247,186,165,0.8870967741935484
gsm8k_test_000007,1,1,790,450,292,264,0.9041095890410958
gsm8k_test_000008,1,1,1344,658,428,474,1.1074766355140186
gsm8k_test_000009,1,1,687,197,244,128,0.5245901639344263
gsm8k_test_000010,1,1,680,282,210,176,0.8380952380952381
gsm8k_test_000011,1,1,495,345,197,235,1.1928934010152283
gsm8k_test_000013,1,1,875,499,323,316,0.978328173374613
gsm8k_test_000014,1,1,661,515,214,308,1.439252336448598
gsm8k_test_000015,1,1,605,522,219,362,1.6529680365296804
gsm8k_test_000016,1,1,315,204,84,137,1.630952380952381
gsm8k_test_000017,1,1,675,318,262,219,0.8358778625954199
gsm8k_test_000018,1,1,406,313,153,206,1.34640522875817
gsm8k_test_000019,1,1,905,416,292,276,0.9452054794520548
gsm8k_test_000020,1,1,1052,502,326,345,1.0582822085889572
gsm8k_test_000021,1,1,543,419,169,218,1.2899408284023668
gsm8k_test_000022,1,1,394,258,112,138,1.2321428571428572
gsm8k_test_000023,1,1,445,130,147,80,0.54421768707483
gsm8k_test_000024,1,1,309,180,125,118,0.944
gsm8k_test_000025,1,1,519,322,204,210,1.0294117647058822
gsm8k_test_000026,1,1,591,290,233,193,0.8283261802575107
gsm8k_test_000027,1,1,315,206,114,128,1.1228070175438596
gsm8k_test_000028,1,1,442,166,135,100,0.7407407407407407
gsm8k_test_000029,1,1,542,276,164,200,1.2195121951219512
gsm8k_test_000030,1,1,550,223,229,140,0.611353711790393
gsm8k_test_000031,1,1,629,338,243,210,0.8641975308641975
gsm8k_test_000032,1,1,550,334,176,191,1.0852272727272727
gsm8k_test_000033,1,1,647,219,241,144,0.5975103734439834
gsm8k_test_000034,1,1,553,335,181,177,0.9779005524861878
gsm8k_test_000035,1,1,341,282,118,164,1.3898305084745763
gsm8k_test_000036,1,1,409,255,174,175,1.0057471264367817
gsm8k_test_000038,1,1,665,373,224,207,0.9241071428571429
gsm8k_test_000041,1,1,608,173,192,117,0.609375
gsm8k_test_000042,1,1,390,148,124,95,0.7661290322580645
gsm8k_test_000043,1,1,845,486,272,317,1.1654411764705883
gsm8k_test_000045,1,1,855,595,272,355,1.3051470588235294
gsm8k_test_000046,1,1,750,243,226,161,0.7123893805309734
gsm8k_test_000048,1,1,456,207,140,131,0.9357142857142857
gsm8k_test_000049,1,1,632,349,207,207,1.0
gsm8k_test_000050,1,1,696,289,231,169,0.7316017316017316
gsm8k_test_000051,1,1,742,239,225,143,0.6355555555555555
gsm8k_test_000052,1,1,871,307,260,200,0.7692307692307693
gsm8k_test_000053,1,1,876,495,291,323,1.1099656357388317
gsm8k_test_000054,1,1,851,244,253,157,0.6205533596837944
